DisplayDate,Open,High,Low,Close,Volume,OI,Change in price,Condition (Close<open),change is negative,close>open,change is positive,Volume (outlier),change in price (outlier),Volume (after outlier),Change in price (removing O),Act Change in price (removing O)
1/28/2014 0:00,281.792306,284.179598,277.430906,280.965935,5189372,0,0.826371,,,,,1,1,5189372,0.826371,-0.826371
1/27/2014 0:00,282.710495,286.6128,278.991828,281.792306,5018364,0,0.918189,,,,,1,1,5018364,0.918189,-0.918189
1/24/2014 0:00,287.39326,289.000092,282.572767,287.530989,4558851,0,0.137729,,,,,1,1,4558851,0.137729,0.137729
1/23/2014 0:00,283.720503,290.05601,281.333211,288.908273,4757394,0,5.18777,,,,,1,1,4757394,5.18777,5.18777
1/22/2014 0:00,280.231384,286.291433,280.231384,284.409145,5363524,0,4.177761,,,,,1,1,5363524,4.177761,4.177761
1/21/2014 0:00,285.556882,285.556882,277.890001,279.955927,7067976,0,5.600955,,,,,1,1,7067976,5.600955,-5.600955
1/20/2014 0:00,285.648701,287.209623,282.021853,283.307318,4702669,0,2.341383,,,,,1,1,4702669,2.341383,-2.341383
1/17/2014 0:00,290.147828,292.489211,281.195483,285.465063,5862244,0,4.682765,,,,,1,1,5862244,4.682765,-4.682765
1/16/2014 0:00,305.711138,305.711138,287.898265,289.734643,9471235,0,15.976495,,,,,1,1,9471235,15.976495,-15.976495
1/15/2014 0:00,302.91066,305.940685,302.267928,304.379763,2524252,0,1.469103,,,,,1,1,2524252,1.469103,1.469103
1/14/2014 0:00,303.920668,304.838858,299.329722,301.120191,2230254,0,2.800477,,,,,1,1,2230254,2.800477,-2.800477
1/13/2014 0:00,303.002479,306.491599,302.130199,303.920668,2302991,0,0.918189,,,,,1,1,2302991,0.918189,0.918189
1/10/2014 0:00,300.247911,305.894776,300.247911,303.507483,3413854,0,3.259572,,,,,1,1,3413854,3.259572,3.259572
1/9/2014 0:00,305.206134,305.757047,300.477458,302.635203,3362087,0,2.570931,,,,,1,1,3362087,2.570931,-2.570931
1/8/2014 0:00,305.757047,306.675236,300.890644,305.206134,5683302,0,0.550913,,,,,1,1,5683302,0.550913,-0.550913
1/7/2014 0:00,303.461574,307.134331,299.788816,304.563401,3704661,0,1.101827,,,,,1,1,3704661,1.101827,1.101827
1/6/2014 0:00,301.625195,303.599302,299.100174,302.405656,2437800,0,0.780461,,,,,1,1,2437800,0.780461,0.780461
1/3/2014 0:00,301.1661,304.747039,297.539253,302.405656,4237118,0,1.239556,,,,,1,1,4237118,1.239556,1.239556
